dataset,strategy,model_name,accuracy,base,final_acc,checkpoint,num_successes_seen,average_reward,perc_learnable,abs_improv,model_size,relative_improvement,train_score
gsm8k,easiest,Llama-3.1-8B-Instruct,0.4670204700530705,0.3601213040181956,0.7255496588324488,100,696,0.87,0.57,0.10689916603487493,8,0.16706161137440761,0.5
gsm8k,easiest,Llama-3.1-8B-Instruct,0.5769522365428355,0.3601213040181956,0.7255496588324488,200,1451,0.906875,0.42,0.21683093252463986,8,0.33886255924170616,0.5
gsm8k,easiest,Llama-3.1-8B-Instruct,0.6413949962092494,0.3601213040181956,0.7255496588324488,300,2215,0.9229166666666667,0.35333333333333333,0.28127369219105386,8,0.4395734597156399,0.5
gsm8k,easiest,Llama-3.1-8B-Instruct,0.6853677028051555,0.3601213040181956,0.7255496588324488,400,2995,0.9359375,0.3025,0.3252463987869599,8,0.5082938388625594,0.5
gsm8k,easiest,Llama-3.1-8B-Instruct,0.7073540561031084,0.3601213040181956,0.7255496588324488,500,3774,0.9435,0.274,0.34723275208491283,8,0.5426540284360191,0.5
gsm8k,easiest,Llama-3.1-8B-Instruct,0.6990144048521607,0.3601213040181956,0.7255496588324488,600,4556,0.9491666666666667,0.255,0.3388931008339651,8,0.5296208530805687,0.5
gsm8k,easiest,Llama-3.1-8B-Instruct,0.7217589082638363,0.3601213040181956,0.7255496588324488,700,5334,0.9525,0.24285714285714285,0.3616376042456407,8,0.5651658767772513,0.5
gsm8k,easiest,Llama-3.1-8B-Instruct,0.7172100075815011,0.3601213040181956,0.7255496588324488,800,6120,0.95625,0.225,0.3570887035633055,8,0.5580568720379147,0.5
gsm8k,easiest,Llama-3.1-8B-Instruct,0.7407126611068992,0.3601213040181956,0.7255496588324488,900,6897,0.9579166666666666,0.21777777777777776,0.38059135708870356,8,0.59478672985782,0.5
gsm8k,easiest,Llama-3.1-8B-Instruct,0.7255496588324488,0.3601213040181956,0.7255496588324488,1000,7676,0.9595,0.209,0.36542835481425323,8,0.571090047393365,0.5
gsm8k,hardest,Llama-3.1-8B-Instruct,0.42077331311599697,0.3601213040181956,0.7634571645185747,100,197,0.24625,0.51,0.060652009097801385,8,0.09478672985781994,0.5
gsm8k,hardest,Llama-3.1-8B-Instruct,0.6474601971190296,0.3601213040181956,0.7634571645185747,200,571,0.356875,0.55,0.287338893100834,8,0.44905213270142186,0.5
gsm8k,hardest,Llama-3.1-8B-Instruct,0.7247915087187263,0.3601213040181956,0.7634571645185747,300,1051,0.4379166666666667,0.5766666666666667,0.36467020470053074,8,0.5699052132701423,0.5
